Plot no.,Species,DBH (2004),2004 size bin,known age,predicted age,2004 age bin, 2004 Density (ha-1),2004BA (m2),Distance from 1922 (cm),DBH (1922),1922 size bin,1922 Density (ha-1),1922 BA (m2),,,,,,
35,QUGA,15.1,1,0,86,5,25,0.0179079,3.1,8.9,1,25,0.006221,,,,,,
35,QUGA,15.1,1,0,86,5,25,0.0179079,3.1,8.9,1,25,0.006221,,,,,,
35,QUGA,15.2,1,124,124,7,25,0.0181459,3.1,9.0,1,25,0.006362,,,,,,
35,QUGA,15.5,1,0,90,5,25,0.0188692,3.1,9.3,1,25,0.006793,,,,,,
36,PIED,21.4,2,93,93,5,25,0.0359682,4.2,13.0,1,25,0.013273,,,,,,
37,PIST,17.5,2,0,88,5,25,0.0240529,5.6,6.3,1,25,0.003117,,,,,,
37,PIST,21,2,112,112,6,25,0.0346361,5.6,9.8,1,25,0.007543,,,,,,
37,PSME,24.2,2,0,111,6,25,0.0459962,7.8,8.6,1,25,0.005809,,,,,,
37,PSME,26.5,3,110,110,6,25,0.0551547,7.8,10.9,1,25,0.009331,,,,,,
37,PSME,29,3,106,106,6,25,0.0660521,7.8,13.4,1,25,0.014103,,,,,,
38,PIPO,24.9,2,102,102,6,25,0.0486956,8.5,7.9,1,25,0.004902,,,,,,
38,PIST,16.7,2,0,89,5,25,0.0219040,5.6,5.5,1,25,0.002376,,,,,,
38,PIST,17.7,2,113,113,6,25,0.0246058,5.6,6.5,1,25,0.003318,,,,,,
38,PIST,18.1,2,0,94,5,25,0.0257305,5.6,6.9,1,25,0.003739,,,,,,
38,QUGA,12,1,130,130,7,25,0.0113098,3.1,5.8,1,25,0.002642,,,,,,
39,PIST,21.1,2,104,104,6,25,0.0349668,5.6,9.9,1,25,0.007698,,,,,,
39,PIST,21.2,2,0,104,6,25,0.0352990,5.6,10.0,1,25,0.007854,,,,,,
